Year,Month,Day,Weekday,Start Time,Event Name,Venue
2018,12,02,日,16:20,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 TOHOシネマズなんば 16:20上映開始前,TOHOシネマズなんば
2018,12,01,土,12:25,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 109シネマズ名古屋 12:25上映終了後,109シネマズ名古屋
2018,12,01,土,14:30,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 109シネマズ名古屋 14:30上映開始前,109シネマズ名古屋
2018,12,01,土,15:35,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 T・ジョイ京都 15:35上映終了後,T・ジョイ京都
2018,12,01,土,17:35,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 T・ジョイ京都 17:35上映開始前,T・ジョイ京都
2018,11,25,日,08:40,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 新宿バルト9 8:40上映終了後,新宿バルト9
2018,11,25,日,10:40,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 新宿バルト9 10:40上映開始前,新宿バルト9
2018,11,25,日,14:55,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 TOHOシネマズ上野,TOHOシネマズ上野
2018,11,25,日,17:05,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 MOVIXさいたま,MOVIXさいたま
2018,11,25,日,12:15,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 シネマサンシャイン池袋 12:15上映終了後,シネマサンシャイン池袋(閉館)
2018,11,25,日,14:20,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 シネマサンシャイン池袋 14:20上映開始前,シネマサンシャイン池袋(閉館)
2018,11,24,土,08:30,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 新宿バルト9特別連続上映,新宿バルト9
2018,11,24,土,15:15,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 横浜ブルク13 15:15上映終了後,横浜ブルク13
2018,11,24,土,13:25,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 109シネマズ川崎,109シネマズ川崎
2018,11,24,土,17:15,『怪獣娘（黒）～ウルトラ怪獣擬人化計画～』舞台挨拶 横浜ブルク13 17:15上映開始前,横浜ブルク13
2018,11,17,土,14:00,ANIMAX MUSIX 2018 YOKOHAMA supported by ひかりTV,横浜アリーナ
2018,11,03,土,11:05,石原夏織のKaory up!?,早稲田大学 早稲田キャンパス15号館
2018,10,06,土,16:00,MBS ANIME FES.2018～supported by uP!!～,大阪城ホール
2018,09,22,土,15:10,東京ゲームショウ2018 一般公開1日目 SQUARE ENIXブース『プロジェクト東京ドールズ』presents ヤマダダ出張版@TGS,幕張メッセ 国際展示場ホール
2018,09,09,日,16:00,アイカツ！シリーズ 5thフェスティバル！！DAY2,幕張メッセ イベントホール
2018,08,20,月,19:00,ウルトラマンフェスティバル2018 怪獣娘～ウルトラ怪獣擬人化計画～」スペシャルイベント 光と闇の激突!?,池袋サンシャインシティ 展示ホールB (文化会館4F)
2018,08,18,土,18:30,石原夏織 BIRTHDAY EVENT『Career up Carry』夜の部,山野ホール
2018,08,18,土,15:00,石原夏織  BIRTHDAY EVENT『Career up Carry』昼の部,山野ホール
2018,08,04,土,15:30,石原夏織 2ndシングル発売記念イベント 発明会館　3回目,発明会館
2018,08,04,土,10:30,石原夏織 2ndシングル発売記念イベント 発明会館　1回目,発明会館
2018,08,04,土,13:00,石原夏織 2ndシングル発売記念イベント 発明会館　2回目,発明会館
2018,07,28,土,12:00,石原夏織 2ndシングル発売記念イベント アニメイト日本橋 ONSQUARE,アニメイト大阪日本橋 O.N.SQUARE 3Fイベントホール
2018,07,28,土,14:30,石原夏織 2ndシングル発売記念イベント ゲーマーズなんば店,ゲーマーズなんば店
2018,07,28,土,19:00,石原夏織 2ndシングル発売記念イベント 第三太閤ビル,第3太閤ビル
2018,07,17,火,20:00,高橋菜々美バースデーイベント 〜20回目のななみこ畑〜,池袋Hoteyes(ホットアイズ)
2018,06,17,日,12:00,リスアニ！PARK Vol.02,新木場STUDIO COAST (USEN STUDIO COAST)(閉館)
2018,04,29,日,12:00,石原夏織 デビューシングルイベント 「CARRY MEETING」アニメイト池袋本店 1回目,アニメイト池袋本店
2018,04,29,日,17:00,石原夏織 デビューシングルイベント 「CARRY MEETING」アニメイト池袋本店 3回目,アニメイト池袋本店
2018,04,29,日,14:30,石原夏織 デビューシングルイベント 「CARRY MEETING」アニメイト池袋本店 2回目,アニメイト池袋本店
2018,04,28,土,13:30,石原夏織 デビューシングルイベント 「CARRY MEETING」廣瀬無線電機株式会社 イベントホール 2回目,廣瀬無線電機 イベントホール
2018,04,28,土,11:30,石原夏織 デビューシングルイベント 「CARRY MEETING」廣瀬無線電機株式会社 イベントホール 1回目,廣瀬無線電機 イベントホール
2018,04,28,土,15:30,石原夏織 デビューシングルイベント 「CARRY MEETING」廣瀬無線電機株式会社 イベントホール 3回目,廣瀬無線電機 イベントホール
2018,04,22,日,18:30,石原夏織 デビューシングルイベント 「CARRY MEETING」第3太閤ビル,第3太閤ビル
2018,04,22,日,13:30,石原夏織 デビューシングルイベント 「CARRY MEETING」 ゲーマーズなんば店 2回目,ゲーマーズなんば店
2018,04,22,日,11:30,石原夏織 デビューシングルイベント 「CARRY MEETING」 ゲーマーズなんば店 1回目,ゲーマーズなんば店
2018,04,21,土,12:00,石原夏織 デビューシングルイベント 「CARRY MEETING」ポニーキャニオン1階イベントスペース 1回目,旧ポニーキャニオン1Fイベントスペース(閉館)
2018,04,21,土,14:00,石原夏織 デビューシングルイベント 「CARRY MEETING」ポニーキャニオン1階イベントスペース 2回目,旧ポニーキャニオン1Fイベントスペース(閉館)
